aTV_x aTV_y aTV_z / Xrot Yrot Zrot / X2 Y2 Z2
0.054500 -0.052750 -1.007000 / -4.340001 2.470999 3.591504 / -297.564972 171.430878 325.444366
0.054500 -0.052750 -1.007000 / -4.363901 2.469599 3.579554 / -301.940826 173.899780 329.017944
0.054500 -0.052750 -1.007000 / -4.387801 2.468199 3.567604 / -306.340576 176.367279 332.579559
0.054500 -0.052750 -1.007000 / -4.411701 2.466799 3.555654 / -310.764221 178.833374 336.129242
0.054500 -0.052750 -1.007000 / -4.435601 2.465399 3.543704 / -315.211761 181.298080 339.666962
0.054500 -0.052750 -1.007000 / -4.459501 2.463999 3.531754 / -319.683228 183.761383 343.192749
0.054500 -0.052750 -1.007000 / -4.483401 2.462599 3.519804 / -324.178589 186.223282 346.706573
0.054500 -0.052750 -1.007000 / -4.507301 2.461199 3.507854 / -328.697845 188.683777 350.208466
0.054500 -0.052750 -1.007000 / -4.531201 2.459799 3.495904 / -333.240997 191.142883 353.698395
0.054500 -0.052750 -1.007000 / -4.555101 2.458399 3.483954 / -337.808044 193.600586 357.176361
0.054500 -0.052750 -1.007000 / -4.579001 2.456999 3.472004 / -342.398987 196.056885 360.642395
0.054500 -0.052750 -1.007000 / -4.602901 2.455599 3.460054 / -347.013824 198.511780 364.096466
0.054500 -0.052750 -1.007000 / -4.626801 2.454199 3.448104 / -351.652588 200.965286 367.538605
0.054500 -0.052750 -1.007000 / -4.650701 2.452799 3.436154 / -356.315247 203.417389 370.968781
0.054500 -0.052750 -1.007000 / -4.674601 2.451399 3.424204 / -361.001801 205.868088 374.387024
0.054500 -0.052750 -1.007000 / -4.698501 2.449999 3.412254 / -365.712250 208.317383 377.793304
0.054500 -0.052750 -1.007000 / -4.722401 2.448599 3.400304 / -370.446594 210.765289 381.187622
0.054500 -0.052750 -1.007000 / -4.746301 2.447199 3.388354 / -375.204834 213.211792 384.570007
0.054500 -0.052750 -1.007000 / -4.770201 2.445799 3.376404 / -379.987000 215.656891 387.940430
0.054500 -0.052750 -1.007000 / -4.794101 2.444399 3.364454 / -384.793060 218.100586 391.298920
0.054500 -0.052750 -1.007000 / -4.818001 2.442999 3.352504 / -389.623016 220.542892 394.645447
0.054500 -0.052750 -1.007000 / -4.841901 2.441599 3.340554 / -394.476868 222.983795 397.980011
0.054500 -0.052750 -1.007000 / -4.865801 2.440199 3.328604 / -399.354614 225.423294 401.302643
0.054500 -0.052750 -1.007000 / -4.889701 2.438799 3.316653 / -404.256256 227.861389 404.613312
0.054500 -0.052750 -1.007000 / -4.913601 2.437399 3.304703 / -409.181793 230.298096 407.912048
0.054500 -0.052750 -1.007000 / -4.937501 2.435999 3.292753 / -414.131256 232.733398 411.198822
0.054500 -0.052750 -1.007000 / -4.961401 2.434599 3.280803 / -419.104614 235.167297 414.473663
0.054500 -0.052750 -1.007000 / -4.985301 2.433199 3.268853 / -424.101868 237.599792 417.736542
0.054500 -0.052750 -1.007000 / -5.009202 2.431799 3.256903 / -429.123016 240.030899 420.987457
0.054500 -0.052750 -1.007000 / -5.033102 2.430399 3.244953 / -434.168060 242.460602 424.226440
0.054500 -0.052750 -1.007000 / -5.057002 2.428999 3.233003 / -439.237000 244.888901 427.453461
0.101000 -0.071500 -0.984000 / -5.070577 2.418574 3.231053 / -444.314362 247.302261 430.683533
0.101000 -0.071500 -0.984000 / -5.084152 2.408149 3.229103 / -449.405304 249.705200 433.911652
0.101000 -0.071500 -0.984000 / -5.097727 2.397724 3.227153 / -454.509827 252.097717 437.137817
0.101000 -0.071500 -0.984000 / -5.111302 2.387299 3.225203 / -459.627930 254.479797 440.362061
0.101000 -0.071500 -0.984000 / -5.124877 2.376874 3.223253 / -464.759583 256.851471 443.584351
0.101000 -0.071500 -0.984000 / -5.138452 2.366449 3.221303 / -469.904816 259.212708 446.804688
0.101000 -0.071500 -0.984000 / -5.152027 2.356024 3.219353 / -475.063629 261.563507 450.023071
0.101000 -0.071500 -0.984000 / -5.165602 2.345599 3.217403 / -480.236023 263.903900 453.239502
0.101000 -0.071500 -0.984000 / -5.179177 2.335174 3.215453 / -485.421997 266.233856 456.453979
0.101000 -0.071500 -0.984000 / -5.192752 2.324749 3.213503 / -490.621552 268.553406 459.666504
0.101000 -0.071500 -0.984000 / -5.206327 2.314323 3.211553 / -495.834656 270.862518 462.877075
0.101000 -0.071500 -0.984000 / -5.219903 2.303898 3.209603 / -501.061340 273.161194 466.085693
0.101000 -0.071500 -0.984000 / -5.233478 2.293473 3.207653 / -506.301605 275.449463 469.292358
0.101000 -0.071500 -0.984000 / -5.247053 2.283048 3.205703 / -511.555450 277.727295 472.497101
0.101000 -0.071500 -0.984000 / -5.260628 2.272623 3.203753 / -516.822876 279.994720 475.699890
0.101000 -0.071500 -0.984000 / -5.274203 2.262198 3.201803 / -522.103882 282.251709 478.900726
0.101000 -0.071500 -0.984000 / -5.287778 2.251773 3.199853 / -527.398438 284.498260 482.099609
0.101000 -0.071500 -0.984000 / -5.301353 2.241348 3.197903 / -532.706604 286.734406 485.296539
0.101000 -0.071500 -0.984000 / -5.314928 2.230923 3.195953 / -538.028320 288.960114 488.491516
0.101000 -0.071500 -0.984000 / -5.328503 2.220498 3.194003 / -543.363586 291.175385 491.684540
0.101000 -0.071500 -0.984000 / -5.342078 2.210073 3.192053 / -548.712463 293.380249 494.875610
0.101000 -0.071500 -0.984000 / -5.355653 2.199647 3.190103 / -554.074890 295.574677 498.064728
0.101000 -0.071500 -0.984000 / -5.369228 2.189222 3.188153 / -559.450928 297.758698 501.251892
0.101000 -0.071500 -0.984000 / -5.382803 2.178797 3.186203 / -564.840515 299.932281 504.437134
0.101000 -0.071500 -0.984000 / -5.396379 2.168372 3.184253 / -570.243652 302.095428 507.620422
0.101000 -0.071500 -0.984000 / -5.409954 2.157947 3.182303 / -575.660400 304.248169 510.801758
0.101000 -0.071500 -0.984000 / -5.423529 2.147522 3.180353 / -581.090698 306.390472 513.981140
0.101000 -0.071500 -0.984000 / -5.437104 2.137097 3.178403 / -586.534607 308.522369 517.158569
0.101000 -0.071500 -0.984000 / -5.450679 2.126672 3.176453 / -591.992065 310.643829 520.334045
0.101000 -0.071500 -0.984000 / -5.464254 2.116247 3.174503 / -597.463135 312.754852 523.507568
0.101000 -0.071500 -0.984000 / -5.477829 2.105822 3.172553 / -602.947754 314.855469 526.679138
0.101000 -0.071500 -0.984000 / -5.491404 2.095397 3.170603 / -608.445923 316.945648 529.848755
0.101000 -0.071500 -0.984000 / -5.504979 2.084971 3.168653 / -613.957703 319.025421 533.016418
0.101000 -0.071500 -0.984000 / -5.518554 2.074546 3.166703 / -619.483032 321.094757 536.182129
0.101000 -0.071500 -0.984000 / -5.532129 2.064121 3.164752 / -625.021973 323.153656 539.345886
0.101000 -0.071500 -0.984000 / -5.545704 2.053696 3.162802 / -630.574463 325.202148 542.507690
0.101000 -0.071500 -0.984000 / -5.559279 2.043271 3.160852 / -636.140503 327.240204 545.667542
0.101000 -0.071500 -0.984000 / -5.572855 2.032846 3.158902 / -641.720154 329.267822 548.825439
0.101000 -0.071500 -0.984000 / -5.586430 2.022421 3.156952 / -647.313354 331.285034 551.981445
0.101000 -0.071500 -0.984000 / -5.600005 2.011996 3.155002 / -652.920166 333.291809 555.135498
0.103750 -0.024250 -1.004000 / -5.606755 2.033796 3.142577 / -658.530273 335.336517 558.271851
0.103750 -0.024250 -1.004000 / -5.613505 2.055596 3.130152 / -664.147156 337.403015 561.395813
0.103750 -0.024250 -1.004000 / -5.620255 2.077396 3.117728 / -669.770813 339.491302 564.507324
0.103750 -0.024250 -1.004000 / -5.627005 2.099196 3.105303 / -675.401184 341.601410 567.606384
0.103750 -0.024250 -1.004000 / -5.633755 2.120996 3.092878 / -681.038330 343.733307 570.693054
0.103750 -0.024250 -1.004000 / -5.640505 2.142796 3.080453 / -686.682190 345.886993 573.767273
0.103750 -0.024250 -1.004000 / -5.647255 2.164596 3.068028 / -692.332825 348.062500 576.829102
0.103750 -0.024250 -1.004000 / -5.654006 2.186396 3.055603 / -697.990234 350.259796 579.878479
0.103750 -0.024250 -1.004000 / -5.660756 2.208196 3.043178 / -703.654358 352.478882 582.915466
0.103750 -0.024250 -1.004000 / -5.667506 2.229996 3.030753 / -709.325256 354.719788 585.940002
0.103750 -0.024250 -1.004000 / -5.674256 2.251796 3.018328 / -715.002869 356.982483 588.952148
0.103750 -0.024250 -1.004000 / -5.681006 2.273596 3.005903 / -720.687256 359.266968 591.951843
0.103750 -0.024250 -1.004000 / -5.687756 2.295396 2.993478 / -726.378357 361.573273 594.939087
0.103750 -0.024250 -1.004000 / -5.694506 2.317196 2.981053 / -732.076233 363.901367 597.913940
0.103750 -0.024250 -1.004000 / -5.701256 2.338996 2.968628 / -737.780884 366.251251 600.876343
0.103750 -0.024250 -1.004000 / -5.708006 2.360796 2.956203 / -743.492249 368.622955 603.826355
0.103750 -0.024250 -1.004000 / -5.714756 2.382596 2.943778 / -749.210388 371.016449 606.763916
0.103750 -0.024250 -1.004000 / -5.721507 2.404397 2.931353 / -754.935242 373.431732 609.689087
0.103750 -0.024250 -1.004000 / -5.728257 2.426197 2.918928 / -760.666870 375.868835 612.601807
